ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_publicado,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_localizacao,ocorrencia_DT,ocorrencia_mes,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
0,INCIDENTE,PORTO ALEGRE - RS,RS,SBPA,05/01/2012,20:27:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-05-01 20:27:00,5.0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,PRCDL,PARTICULAR,AVIÃO,RAYTHEON AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2495,2495,6.0,2003.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
1,ACIDENTE,GUARULHOS - SP,SP,SBGR,06/01/2012,13:44:00,SIM,FINALIZADA,SIM,3,1,NÃO,-23.4355555556 / -46.4730555556,2012-06-01 13:44:00,6.0,COM PESSOAL EM VOO,OUTROS | COM PESSOAL EM VOO,OTHR,PRTKB,,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-500,AT45,TURBOÉLICE,BIMOTOR,18600,18600,50.0,2001.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,REGULAR,NENHUM,0
2,ACIDENTE,VIAMÃO - RS,RS,,06/01/2012,13:00:00,,FINALIZADA,SIM,0,1,NÃO,,2012-06-01 13:00:00,6.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PTGOO,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1976.0,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
3,ACIDENTE,SÃO SEBASTIÃO - SP,SP,,06/01/2012,17:00:00,,,NÃO,0,1,NÃO,,2012-06-01 17:00:00,6.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PUUSS,EXPERIMENTAL,ULTRALEVE,,P2004 BRAVO,ULAC,PISTÃO,MONOMOTOR,580,580,2.0,2007.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,EXPERIMENTAL,LEVE,0
4,ACIDENTE,SÃO SEPÉ - RS,RS,,06/01/2012,16:30:00,SIM,FINALIZADA,SIM,0,1,NÃO,,2012-06-01 16:30:00,6.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PTUCL,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1986.0,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,AGRÍCOLA,SUBSTANCIAL,0
5,INCIDENTE,UBATUBA - SP,SP,,06/01/2012,14:30:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-06-01 14:30:00,6.0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,PRBGF,PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,EC 120 B,EC20,TURBOEIXO,MONOMOTOR,1715,1715,5.0,2000.0,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,LEVE,0
6,INCIDENTE GRAVE,CAMPINAS - SP,SP,SDAI,07/01/2012,18:15:00,SIM,FINALIZADA,SIM,0,1,NÃO,,2012-07-01 18:15:00,7.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PTKYP,,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PAUL,PISTÃO,MONOMOTOR,587,587,2.0,1940.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0
7,INCIDENTE,BELÉM - PA,PA,SBBE,08/01/2012,19:12:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-08-01 19:12:00,8.0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,PRMHX,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,184.0,2008.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,REGULAR,LEVE,0
8,ACIDENTE,CONCEIÇÃO DAS ALAGOAS - MG,MG,,08/01/2012,16:00:00,,FINALIZADA,NÃO,0,1,NÃO,-19.9133333333 / -48.2930555556,2012-08-01 16:00:00,8.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PTLUP,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,P210N,P210,PISTÃO,MONOMOTOR,1812,1812,6.0,1982.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
9,INCIDENTE,UBERLÂNDIA - MG,MG,SBUL,08/01/2012,22:13:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-08-01 22:13:00,8.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PRZRB,EXPERIMENTAL,AVIÃO,JOSE ROBERTO BARBOSA,BUMERANGUE EX-27 CROSS-CONTRY,ZZZZ,PISTÃO,MONOMOTOR,1260,1260,4.0,2011.0,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,EXPERIMENTAL,LEVE,0
