codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_publicado,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_localizacao,ocorrencia_mes
0,52242,52242,52242,52242,52242,INCIDENTE,PORTO ALEGRE - RS,RS,SBPA,1.0,20.0,,FINALIZADA,NÃO,0,1,NÃO,,5.0
1,45331,45331,45331,45331,45331,ACIDENTE,GUARULHOS - SP,SP,SBGR,1.0,13.0,SIM,FINALIZADA,SIM,3,1,NÃO,-23.4355555556 / -46.4730555556,6.0
2,45333,45333,45333,45333,45333,ACIDENTE,VIAMÃO - RS,RS,,1.0,13.0,,FINALIZADA,SIM,0,1,NÃO,,6.0
3,45401,45401,45401,45401,45401,ACIDENTE,SÃO SEBASTIÃO - SP,SP,,1.0,17.0,,,NÃO,0,1,NÃO,,6.0
4,45407,45407,45407,45407,45407,ACIDENTE,SÃO SEPÉ - RS,RS,,1.0,16.0,SIM,FINALIZADA,SIM,0,1,NÃO,,6.0
5,52243,52243,52243,52243,52243,INCIDENTE,UBATUBA - SP,SP,,1.0,14.0,,FINALIZADA,NÃO,0,1,NÃO,,6.0
6,50713,50713,50713,50713,50713,INCIDENTE GRAVE,CAMPINAS - SP,SP,SDAI,1.0,18.0,SIM,FINALIZADA,SIM,0,1,NÃO,,7.0
7,45334,45334,45334,45334,45334,INCIDENTE,BELÉM - PA,PA,SBBE,1.0,19.0,,FINALIZADA,NÃO,0,1,NÃO,,8.0
8,45391,45391,45391,45391,45391,ACIDENTE,CONCEIÇÃO DAS ALAGOAS - MG,MG,,1.0,16.0,,FINALIZADA,NÃO,0,1,NÃO,-19.9133333333 / -48.2930555556,8.0
9,52244,52244,52244,52244,52244,INCIDENTE,UBERLÂNDIA - MG,MG,SBUL,1.0,22.0,,FINALIZADA,NÃO,0,1,NÃO,,8.0
10,45332,45332,45332,45332,45332,ACIDENTE,VIAMÃO - RS,RS,,1.0,13.0,SIM,FINALIZADA,SIM,0,1,NÃO,,9.0
11,52245,52245,52245,52245,52245,INCIDENTE,PORTO ALEGRE - RS,RS,SBPA,1.0,13.0,,FINALIZADA,NÃO,0,1,NÃO,,9.0
12,45396,45396,45396,45396,45396,INCIDENTE GRAVE,MARABÁ - PA,PA,SBMA,1.0,11.0,SIM,FINALIZADA,SIM,0,1,NÃO,-5.3677777778 / -49.1383333333,11.0
13,45408,45408,45408,45408,45408,ACIDENTE,ELDORADO - SP,SP,,1.0,13.0,SIM,FINALIZADA,SIM,1,1,NÃO,-24.5888888889 / -48.2113888889,11.0
14,45447,45447,45447,45447,45447,INCIDENTE,RIO BRANCO - AC,AC,,13.0,18.0,SIM,FINALIZADA,NÃO,0,1,NÃO,,1.0
15,45409,45409,45409,45409,45409,ACIDENTE,CÁCERES - MT,MT,,14.0,10.0,,FINALIZADA,NÃO,0,1,NÃO,-16.0388888889 / -57.5958333333,1.0
16,45693,45693,45693,45693,45693,INCIDENTE,MACAÉ - RJ,RJ,,14.0,10.0,,FINALIZADA,NÃO,0,1,NÃO,,1.0
17,52246,52246,52246,52246,52246,INCIDENTE,BRASÍLIA - DF,DF,SBBR,16.0,16.0,,FINALIZADA,NÃO,0,1,NÃO,,1.0
18,50714,50714,50714,50714,50714,INCIDENTE GRAVE,CAMOCIM - CE,CE,SNWC,17.0,18.0,SIM,FINALIZADA,SIM,0,1,NÃO,-2.8966666667 / -40.8569444444,1.0
19,45399,45399,45399,45399,45399,INCIDENTE GRAVE,MUANÁ - PA,PA,,18.0,17.0,SIM,FINALIZADA,SIM,0,1,NÃO,-1.1966666667 / -49.2675,1.0
20,52247,52247,52247,52247,52247,INCIDENTE,BELO HORIZONTE - MG,MG,SBPR,18.0,13.0,,FINALIZADA,NÃO,0,1,NÃO,,1.0
