codigo_ocorrencia4,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_dias_para_feedback
0,45331,"Atuar junto às empresas que operam segundo o RBAC 121 de forma tal que assegure que o treinamento de Corporate Ressource Management (CRM) esteja adequado a realidade daquela empresa, que seja constantemente avaliado e reforçado (com a participação da alta direção), envolva todos os profissionais da instituição, que garanta a integração dos diferentes setores da empresa (corporate), e que, acima de tudo, faça parte da cultura de segurança de voo da organização.",CUMPRIDA,ANAC,117.0
1,45331,"Atuar junto à Administração do Aeroporto Internacional de Guarulhos, de forma que este passe a ministrar treinamento teórico e prático de atendimento às vítimas de acidentes envolvendo os principais tipos de aeronaves que operam naquela localidade, principalmente os das Linhas Aéreas Regulares, com especial ênfase ao “Layout” e aos meios de remoção de passageiros do interior destas aeronaves.",CUMPRIDA,ANAC,117.0
2,45331,"Orientar as suas organizações subordinadas em relação ao fiel cumprimento do estabelecido na ICA 100-37, de 28ABR2014, no seu item 5.9.3 e na MCA 100-16, de 18NOV2013, no item 2.3.3.",AGUARDANDO RESPOSTA,DECEA,
3,45392,"Divulgar aos operadores de helicópteros vinculados ao RBHA 91 os ensinamentos oriundos desse acidente, a fim de elevar o nível de alerta para os fatores de risco decorrentes do não cumprimento dos Regulamentos Brasileiros de Homologação Aeronáutica (RBHA) e dos Regulamentos Brasileiros de Aviação Civil (RBAC) em vigor.",CUMPRIDA DE FORMA ALTERNATIVA,ANAC,129.0
4,45392,"Tendo em vista os fatos levantados nesta investigação, atuar junto ao operador para garantir o fiel cumprimento dos Regulamentos Brasileiros de Homologação Aeronáutica (RBHA) e dos Regulamentos Brasileiros de Aviação Civil (RBAC) em vigor.",NÃO CUMPRIDA,ANAC,125.0
5,45397,"Certificar-se que a IS n° 00-002B, no capítulo referente à descrição das manobras para helicópteros, estabeleça parâmetros de execução e de avaliação para todas as manobras previstas durante os voos de cheque de proficiência (voos de cheque). Em relação à autorrotação, incluir nessa IS, item descrevendo os procedimentos para a manobra, definir parâmetros de execução e avaliação, e determinar os níveis mínimos aceitáveis de proficiência.",CUMPRIDA,ANAC,280.0
6,45397,"Certificar-se de que o tempo limite para revisão (TBO) de 3.600 horas do modulo 3 do motor Arriel 1D1 estabelecido através do SB n° 292.72.0832, é apropriado para identificar a possibilidade de deterioração do rolamento traseiro do modulo 3 (PN 9609000408).",CUMPRIDA,ANAC,283.0
7,45400,"Assegurar-se que os pilotos que operam aeronaves pressurizadas estejam habilitados para o gerenciamento de condições de fogo/fumaça na cabine, incluindo a correta utilização das máscaras de oxigênio.",AGUARDANDO RESPOSTA,ANAC,
8,45400,"Realizar gestões junto ao operador, a fim de assegurar que todos os pilotos da companhia cumpram fielmente os procedimentos previstos no SOP da empresa e no QRH da aeronave, tanto em condições normais quanto em emergência.",AGUARDANDO RESPOSTA,ANAC,
9,45400,"Realizar gestões junto ao operador, a fim de garantir que todos os manuais da companhia sejam fielmente atualizados de acordo com os procedimentos previstos nos manuais do fabricante da aeronave.",AGUARDANDO RESPOSTA,ANAC,
10,45400,"Orientar os controladores quanto à aplicação dos conceitos de CRM, a fim de evitar que estes sobrecarreguem os tripulantes com solicitações que podem não ser relevantes para uma determinada condição de emergência.",CUMPRIDA,DECEA,65.0
11,45408,"Divulgar os ensinamentos colhidos na presente investigação, no intuito de alertar pilotos e operadores da aviação agrícola brasileira sobre a importância de se conhecer e respeitar os limites de performance nas diferentes configurações das aeronaves operadas.",CUMPRIDA,ANAC,26.0
